,x,y,z
0.113,9.962876433,1.548379573,9.851401532
0.114,3.64586304,5.121000536,0.392080398
0.115,8.680323883,8.680672238,7.57242876
0.116,0.028602346,5.713138645,2.459478184
0.117,1.101754252,2.472708908,5.239612396
0.118,5.490889366,1.665048692,6.810727845
0.119,3.101303214,8.682835127,9.658272507
0.12,0.814891135,1.943654321,9.295230574
0.121,5.776265004,0.487589102,4.636210569
0.122,7.544668192,1.826327928,3.551534828
0.123,6.351466675,7.427536749,4.315017357
0.124,5.191094638,8.063848895,4.279323633
0.125,8.747314221,6.358095826,9.379952867
0.126,8.686808291,5.44973449,7.248315121
0.127,5.362104442,9.999657415,9.165078112
0.128,4.856644355,5.34672717,4.818331802
0.129,6.931646108,9.825641656,6.308100519
0.13,4.967477637,7.229505868,1.143287859
0.131,5.144355781,5.491363818,7.941399363
0.132,6.396760193,1.155785814,0.005789069
0.133,5.909366859,8.579397377,2.517845144
0.134,5.870299032,0.744056454,4.156944565
0.135,2.395412037,7.889471681,6.417803859
0.136,2.682095153,9.249537711,1.173313448
0.137,4.916062675,2.514890031,7.069286798
0.138,5.646638054,7.373177552,1.31450518
0.139,0.169248624,4.406031213,3.549816144
0.14,2.520276058,7.977384131,2.241108308
0.141,9.16026548,3.193631772,9.478624442
0.142,5.400177172,0.172852641,6.433619441
0.143,8.541905425,8.360940849,9.190024027
0.144,8.360205206,5.649922268,9.166731948
0.145,8.784581198,3.006592879,2.888110801
0.146,5.216362828,0.747241985,9.842787879
0.147,6.607097854,9.362121134,5.650252944
0.148,6.365219743,0.71473582,9.478371266
0.149,5.456780578,8.110550083,9.686139396
0.15,9.228180209,1.453220414,6.638338272
0.151,5.50111749,0.958233023,1.666997701
0.152,8.978854845,2.128523714,0.723859464
0.153,5.123775757,5.875309725,4.835252368
0.154,3.940983832,6.972585265,8.365231368
0.155,5.775574201,1.425560693,3.898197727
0.156,5.786115661,7.912737582,0.514129805
0.157,9.41334346,4.557568745,9.442499371
0.158,1.28599491,6.028779139,2.777948822
0.159,0.133657816,2.959964998,5.446086258
0.16,7.865577015,0.698669583,8.878470635
0.161,2.67354429,5.686646777,8.145955124
0.162,2.528116052,0.114344262,7.307014019
0.163,1.838037107,1.541942535,2.656298057
0.164,9.312482608,8.910878767,2.347463536
0.165,1.683595427,0.110285763,0.18194132
0.166,7.179717157,6.860679804,6.979693437
0.167,7.782664583,8.005372514,3.01774533
0.168,3.960737717,1.648357766,6.006911603
0.169,7.796711835,7.389866869,5.31809035
0.17,0.762008356,9.256469975,6.067965907
0.171,6.175759412,8.492433934,0.613646921
0.172,2.780667152,8.986681522,6.761402343
0.173,8.572516559,1.635971315,0.725903672
0.174,4.218490908,2.37260063,1.62645423
0.175,9.335953568,3.572822456,0.021879032
0.176,2.621739844,6.979104601,5.390922
0.177,7.179558047,1.005127218,3.812622301
0.178,4.247349705,0.113575716,5.837019172
0.179,7.037794146,1.731525164,6.672302944
0.18,5.24279231,6.211324113,0.402106756
0.181,6.108043313,0.207575503,3.224821087
0.182,6.873537662,2.5163693,0.985591578
0.183,9.086865724,0.269294321,7.954875232
0.184,2.81794436,7.271566706,1.119761602
0.185,8.033368273,1.312613559,7.972397168
0.186,0.702006018,1.483074618,1.630758619
0.187,3.437183934,0.340147931,6.4959603
0.188,6.192397298,3.556589671,0.040357493
0.189,0.48049608,2.909620161,3.895518963
0.19,3.097618215,9.216357941,5.290880083
0.191,7.859441934,7.276100799,3.887478947
0.192,4.98438885,5.924942298,8.682507641
0.193,8.975859897,1.937754906,8.925927829
0.194,3.955199778,7.011357676,1.387466319
0.195,0.810355442,0.008249869,4.640645874
0.196,7.024511685,6.701059561,6.975182953
0.197,3.84275422,1.565804675,7.683550609
0.198,1.719510271,1.487485084,0.595188788
0.199,4.326020236,8.812741166,5.109556821
0.2,9.696819277,1.906105687,6.761235433
0.201,3.559623022,0.923483675,2.428100978
0.202,2.516559985,0.016242766,6.017987607
0.203,4.229757905,9.863989632,6.0709793
0.204,5.844332716,0.799892931,9.951213268
0.205,5.457892149,2.846974774,1.428590094
0.206,0.604228103,5.388738323,2.97219072
0.207,7.377445749,3.813870729,9.524305121
0.208,8.643455472,2.786862443,9.094010963
0.209,5.924722738,3.468109037,2.953534064
0.21,4.442827346,6.865209583,7.831803662
0.211,1.979301997,9.350857412,1.3624336
0.212,4.43430383,4.783841694,9.082586533
0.213,8.127068345,2.502572458,6.340233625
0.214,7.415837035,3.290359652,0.141020482
0.215,5.258954934,5.294508576,2.383499369
0.216,5.312957733,9.613170365,8.345061092
0.217,0.870859674,2.600179322,0.168013446
0.218,3.60435031,2.715239461,6.787824494
0.219,6.387333711,3.758103291,2.614645095
0.22,8.722161475,7.414702539,7.64985373
0.221,6.14368647,6.688863748,2.408531949
0.222,3.436169064,2.485968435,9.946490939
0.223,8.763473555,6.092595345,7.337661449
0.224,8.792248288,4.461857408,8.104885969
0.225,6.317538485,2.735958022,4.665524703
0.226,5.30574112,4.390583794,7.244621487
0.227,2.259670597,2.997029294,7.119563753
0.228,7.328644545,7.501023642,7.121494653
0.229,6.093498783,8.033801134,9.582307628
0.23,0.58139669,9.118818325,7.534497795
0.231,7.736273865,0.565657977,4.001482111
0.232,2.133954623,9.339611986,0.744506264
0.233,7.955153943,1.967602998,1.038957286
0.234,4.030298372,4.250745854,6.503066905
0.235,8.049420659,5.576551671,2.849590643
0.236,2.380095448,1.733857869,8.961913509
0.237,2.267556972,4.45319212,9.34940443
0.238,8.325362743,5.196815576,0.361892116
0.239,3.870206063,7.701198136,0.375884984
0.24,7.526548258,0.165344249,2.732298309
0.241,2.113580878,7.504462716,4.449798347
0.242,6.261488616,6.188119548,7.506643534
0.243,4.875705202,9.444504087,9.289676811
0.244,9.715892585,4.656946445,0.821512812
0.245,8.026111943,4.052744397,8.406360396
0.246,8.923789591,2.865365362,1.53809799
0.247,5.23385144,6.579903491,8.543193294
0.248,9.51303797,6.508129095,7.046201951
0.249,6.358797984,5.575421391,4.047083883
0.25,0.454727404,2.457881875,8.97399794
0.251,3.528657606,0.188055422,3.877751938
0.252,5.749076212,2.982086563,4.623567461
0.253,6.793040193,0.994348404,3.991000029
0.254,3.373882906,0.642171675,5.087467972
0.255,2.729395819,3.389596524,4.983190833
0.256,7.935777367,6.603070242,7.258364578
0.257,5.40651543,2.218801324,9.907802411
0.258,5.165705733,7.791098732,1.732230892
0.259,2.272310275,5.345940135,6.925968528
0.26,0.423851775,1.84433653,4.636525861
0.261,2.83270964,8.330023744,6.592815662
0.262,1.525845945,5.092331907,0.110793208
0.263,0.966829649,2.587113063,0.779699947
0.264,8.038926856,0.429062803,9.930256422
0.265,9.54474976,0.54922988,8.630290264
0.266,6.737018856,0.727942801,8.432705777
0.267,3.618510517,6.233432069,7.251640422
0.268,0.703262881,7.568273183,7.230735833
0.269,4.993702639,8.273824669,5.155865489
0.27,2.919214577,9.580663994,6.7686386
0.271,8.268374286,4.025799743,7.986829122
0.272,4.263466251,8.541375758,9.216167349
0.273,5.94453928,8.609226919,2.35878015
0.274,1.361828563,7.386341334,8.856331577
0.275,6.865099072,9.358818519,6.053149203
0.276,0.043043947,9.081982052,8.539897126
0.277,0.572603506,9.174735413,3.692018808
0.278,8.575320361,0.256801377,7.674016436
0.279,4.613051085,0.40975984,1.662613063
0.28,8.896265447,0.364856699,0.174480034
0.281,1.47018291,0.63196217,6.643957795
0.282,3.411558817,6.114979615,9.174409203
0.283,8.675539285,9.901400882,3.500517446
0.284,1.374343904,8.559316195,2.406453284
0.285,2.317826973,3.048186661,7.886396247
0.286,1.684392757,5.326816181,1.958770882
0.287,3.691676651,7.747668044,1.886876161
0.288,3.695389922,9.45220874,4.110588956
0.289,5.871976263,2.501299422,1.101557946
0.29,1.142320043,8.816922449,0.923669302
0.291,1.815554648,2.938344901,7.33313637
0.292,4.555664461,6.02731031,6.838386207
0.293,7.59208498,8.405812324,7.257897062
0.294,7.573645941,4.856752501,6.861411011
0.295,5.721255559,4.312481072,6.098439599
0.296,3.188911879,0.505153823,8.378617253
0.297,7.937416456,4.805264211,4.097497809
0.298,5.963590953,9.782624171,6.963044764
0.299,4.009509724,3.61063455,0.732139912
0.3,9.323314516,6.075547694,2.632144094
0.301,4.548512952,5.763172204,8.824708124
0.302,7.455971864,7.438776741,7.753486724
0.303,1.879532391,9.632247925,6.602423988
0.304,3.271268578,4.08073405,6.92236004
0.305,4.130845166,0.767032551,3.870261295
0.306,2.696341829,7.194622308,7.737099701
0.307,8.253514742,7.082601088,6.145345484
0.308,3.362221528,1.855421754,4.386140956
0.309,3.260845807,2.172707369,9.787984295
0.31,0.5305763,7.106648675,6.133250027
0.311,5.711498662,5.306258352,9.554629696
0.312,8.305758234,3.019505963,4.731786927
0.313,6.485289707,6.117077344,8.926904454
0.314,0.258027644,4.399842229,7.343914923
0.315,8.797830771,6.944638768,3.238108616
0.316,8.139637308,4.485436237,4.576816289
0.317,1.028227063,1.583243097,8.248026893
0.318,4.919263426,1.55420956,2.243646813
0.319,6.46334629,7.948151248,2.276334376
0.32,5.094924919,8.021646636,7.294409032
0.321,5.503918208,5.231821012,7.713042049
0.322,7.599070575,9.162679023,5.559267393
0.323,1.94351566,5.28114069,3.11473767
0.324,4.434012363,0.453094616,4.487755807
0.325,5.828524382,7.797630319,5.936465525
0.326,1.378606842,3.966406024,6.505361115
0.327,2.22707046,0.973470026,8.621089182
0.328,9.306707327,1.707953805,8.717415022
0.329,1.349973871,5.683754216,8.422391898
0.33,1.707904905,1.454209859,4.139588437
0.331,2.43381196,6.284795112,7.788805357
0.332,8.01535417,5.898208787,8.324289567
0.333,4.996651474,7.666886696,0.068875908
0.334,2.764971184,3.463842995,3.508605556
0.335,5.531214796,6.662319689,6.704646656
0.336,3.493591284,9.161677431,2.532897901
0.337,2.133681841,2.106401805,6.781812982
0.338,4.887722528,3.435383436,7.94489414
0.339,0.377952236,8.962702313,4.99124095
0.34,9.084416855,0.942944195,8.737859511
0.341,2.120465504,3.757051151,2.137227139
0.342,4.186133566,5.330813165,0.827880763
0.343,2.188742896,2.607730031,2.797877234
0.344,5.602532943,9.691583634,8.362021691
0.345,4.169757428,0.774336019,7.842663032
0.346,1.095142561,3.138549203,4.771652578
0.347,8.011644882,8.303486516,6.120433509
0.348,3.818777993,8.867932147,5.872746415
0.349,8.6947204,1.456750913,4.37179542
0.35,3.300051379,6.507304529,7.985406085
0.351,8.316138416,0.241940463,8.464003332
0.352,5.307225679,0.968009672,8.264610416
0.353,6.223156317,5.456322602,5.424905712
0.354,1.076290589,4.003483438,0.978045765
0.355,7.285126659,8.912988918,9.252640834
0.356,5.302011345,2.151041899,9.879462942
0.357,7.103715011,9.662585353,6.567361308
0.358,6.644091402,2.246606981,2.213002315
0.359,5.920155037,1.690662775,6.43447503
0.36,7.744237764,0.664745052,4.519418841
0.361,0.47663613,5.51579301,6.148117022
0.362,1.295315195,6.204586938,9.749065871
0.363,0.293006134,8.97589938,7.370867345
0.364,4.291865481,1.092176733,6.523718822
0.365,9.609115684,3.959617097,1.6171504
0.366,2.201109945,8.651498088,4.021742007
0.367,1.276590193,9.974412179,8.38415549
0.368,4.642756969,4.854269703,6.533186133
0.369,2.968515704,8.219706437,0.156997943
0.37,1.984072658,0.574074843,2.058225434
0.371,8.127546673,6.553675365,1.277559706
0.372,1.730672277,3.118624539,8.555227448
0.373,0.493751771,9.428022903,0.022385232
0.374,2.422673549,3.142897805,8.546961211
0.375,9.34896397,3.546467227,5.05451676
0.376,9.380222621,7.402002623,4.470766672
0.377,8.963857634,5.978432777,9.332615795
0.378,5.577853357,2.913175391,2.931070358
0.379,5.770173489,8.772786309,3.653465631
0.38,6.308965884,7.421700918,5.554922849
0.381,7.233501375,8.309734234,0.98211427
0.382,6.161544902,4.618518411,2.861251617
0.383,5.590631017,9.662789263,0.221259371
0.384,3.928517699,1.728778568,8.6446451
0.385,4.465450838,3.643448076,7.116521664
0.386,2.973189761,2.22025316,6.840052614
0.387,7.921243707,0.269837831,0.82029937
0.388,1.727708248,7.951763092,8.125131413
0.389,5.38492413,6.519089236,1.736062089
0.39,7.880084673,2.917942031,0.422834338
0.391,9.821949804,5.902066696,6.695589094
0.392,8.752964381,1.759182324,2.991924253
0.393,4.702357936,6.348205487,9.605411496
0.394,2.731567248,4.677815933,0.486885557
0.395,7.534208923,2.487099434,3.077799667
0.396,2.577342599,3.124925664,9.497983246
0.397,2.662709318,9.820077512,1.48226247
0.398,6.479927201,9.878925749,0.116754659
0.399,4.254161504,5.578469755,9.873529717
0.4,1.625736561,9.974813539,4.842129526
0.401,0.48456093,1.137234925,9.260739696
0.402,2.110201553,3.936296458,5.038974773
0.403,9.601428277,8.574909516,0.921371713
0.404,1.844255749,0.435710641,6.30025146
0.405,4.143565527,1.885606511,7.72513125
0.406,8.764809996,7.057985133,3.473950879
0.407,8.556328677,5.881088332,9.352412925
0.408,9.547847878,3.824430285,9.752156368
0.409,5.95979573,4.822546076,3.341242669
0.41,5.199838388,7.966421068,1.662713983
0.411,5.693869791,2.48749061,7.958686612
0.412,2.159793021,6.915327899,9.925054718
0.413,6.478138835,0.746956351,4.362687579
0.414,1.444930576,1.51142958,8.438566921
0.415,0.716671594,5.297413065,3.114047161
0.416,5.494058478,2.655244785,4.296171508
0.417,4.598836195,2.076379276,1.380233125
0.418,2.434253512,5.919546067,9.132406119
0.419,4.596582139,4.133166237,9.006003802
0.42,4.214698631,0.635621833,1.993795945
0.421,2.121189558,9.602828558,1.783128286
0.422,3.454852434,0.150318664,8.23483276
0.423,9.508909416,7.558869522,2.604689294
0.424,6.358913172,1.563043458,5.979218035
0.425,2.046570823,5.66549766,0.656795189
0.426,8.048109735,1.689724534,4.323322166
0.427,0.553358656,9.357965233,6.698958517
0.428,7.452878233,2.127837481,4.725531356
0.429,0.170260252,1.264510714,3.766815682
0.43,0.177700948,9.770288244,5.056793667
0.431,0.449359236,6.983077011,5.522200876
0.432,8.376849124,8.922233369,5.850868588
0.433,3.863677467,0.400185725,7.519533478
0.434,9.585633046,9.070908557,4.936572757
0.435,5.727724788,6.207369941,6.168504785
0.436,1.554590139,4.212627112,9.367789999
0.437,8.395611978,4.841875354,6.07194335
0.438,5.570559522,3.459702749,0.83447733
0.439,2.993976835,4.124449154,8.86302969
0.44,3.867478995,9.196103165,1.612184205
0.441,5.621918385,9.516125262,6.004944102
0.442,0.121290703,5.795464672,3.335790595
0.443,1.077538611,7.348075312,7.824445302
0.444,1.123660094,0.659155141,1.790052762
0.445,7.955455246,5.077209763,9.282014102
0.446,4.773043099,0.807616866,7.426349276
0.447,3.4296694,3.861166008,3.066802647
0.448,0.886195322,5.185471266,0.608815131
0.449,4.164528083,3.653419787,1.763256934
0.45,7.735969927,9.792618981,1.052315657
0.451,0.488387825,9.02203022,4.090295066
0.452,5.53239454,4.775172193,6.549762895
0.453,9.080475,9.708441456,1.870734389
0.454,1.699676194,9.271996895,5.721721505
0.455,8.948478706,5.17560155,3.421882358
0.456,4.54205749,3.942729935,6.086749776
0.457,3.975990134,5.050766421,6.944139771
0.458,8.746166485,8.753030872,4.643300541
0.459,7.489603322,9.546485663,4.446564418
0.46,6.059226732,1.10787262,6.74828185
0.461,7.644152386,7.176617091,5.337839292
0.462,5.756292924,0.221197235,2.913619147
0.463,5.719957424,0.361474342,3.788887621
0.464,6.603190397,2.152637835,4.260180613
0.465,9.877111003,1.6969099,0.802782635
0.466,5.720479406,8.818468868,1.010781792
0.467,1.158031268,3.566556952,9.023556313
0.468,6.156830205,9.553483414,0.861840678
0.469,4.938967328,4.61140325,7.142317449
0.47,4.916244129,2.756748172,7.1217717
0.471,0.849297921,3.913909089,3.57644214
0.472,2.310044497,2.212327053,7.817924721
0.473,8.775336424,8.31334847,6.824646743
0.474,8.081732238,9.596352034,5.641373986
0.475,7.207151477,6.971037033,2.636785695
0.476,9.98318902,3.57886394,8.094029038
0.477,6.484411453,3.162326231,5.079306529
0.478,1.73034908,7.205761047,8.302372338
0.479,8.027839876,6.244638891,5.451706149
0.48,8.037539222,4.345497625,6.228355066
0.481,0.25712347,0.991775771,0.120334765
0.482,0.030134919,6.181275616,3.096387025
0.483,2.235904461,9.32924676,6.686982413
0.484,8.31999674,0.198001178,4.526006311
0.485,6.824669167,6.620863843,6.164291215
0.486,4.582026323,0.021857358,1.494516149
0.487,6.051227898,2.782094947,7.823267877
0.488,4.237321151,7.928854951,1.611016223
0.489,7.793764414,3.17412831,1.239773636
0.49,3.566047418,4.508894542,7.072467515
0.491,0.163025655,9.482135816,2.166128191
0.492,5.460230111,7.783016318,4.396677413
0.493,3.400350269,7.831334429,3.595273481
0.494,8.722261204,8.84380567,8.181106878
0.495,2.193384628,0.957730702,9.701905472
0.496,8.440559059,0.440348446,7.984076502
0.497,9.606079256,8.528592976,1.481384228
0.498,8.397899483,0.6558221,8.946948668
0.499,3.916142768,8.936809399,5.370499415
0.5,5.847226674,8.866911992,7.410530684
0.501,9.039382394,9.864915074,1.077508019
0.502,7.032726781,5.383524871,1.360467973
0.503,7.517212743,2.230593276,0.502287773
0.504,3.943192191,0.303112345,0.706478825
0.505,0.062057052,3.144761721,1.815639694
0.506,4.168557642,5.659697819,0.980188249
0.507,3.216153772,5.459658009,3.233801022
0.508,7.16873963,8.228559173,4.888794282
0.509,6.052093135,5.71372595,7.704240753
0.51,9.888821512,8.317927849,5.498316293
0.511,0.026206525,4.667575174,8.094003279
0.512,4.834165788,4.895119196,9.220859701
0.513,5.084490424,4.890480894,5.320725921
0.514,6.788909625,8.084938637,6.668538099
0.515,5.122932878,9.180394221,2.008404895
0.516,1.869620989,7.411449921,2.118805348
0.517,3.433925984,8.644080867,3.325306564
0.518,2.354583063,1.271445504,4.118475861
0.519,0.95488642,4.64893742,0.207126536
0.52,5.803903133,0.255037208,2.099272001
0.521,1.735438855,9.67795559,6.953703656
0.522,0.170976699,2.663366173,8.095985224
0.523,5.011625012,8.9812351,2.230790495
0.524,6.305826012,7.179095537,5.323443143
0.525,9.112200158,6.749522924,7.553755754
0.526,1.196611582,5.961816968,6.832111687
0.527,5.066141612,1.268455036,2.794076325
0.528,4.061471278,0.833190455,5.986669242
0.529,9.881754537,8.989993948,7.658291655
0.53,6.463044867,8.594494778,2.810882611
0.531,8.542173422,4.688596191,2.897023057
0.532,9.007989247,5.062005427,3.334098954
0.533,7.999405539,0.274776911,0.191681613
0.534,7.246836883,8.317574387,0.466646211
0.535,5.460411762,6.839959724,1.263158718
0.536,8.144341268,8.370646123,4.692983915
0.537,0.465719503,6.768627923,7.800700276
0.538,2.839675898,2.848697561,8.719887013
0.539,8.743460398,9.193927603,7.665533846
0.54,6.97225318,7.317023908,7.726585241
0.541,5.520519745,6.105035012,4.52124064
0.542,5.888295907,1.022840335,7.239291359
0.543,5.19227245,4.45869647,6.625331961
0.544,6.873080915,1.639069794,6.135033473
0.545,8.612834706,0.30086496,1.403782383
0.546,9.695873726,8.65641847,1.228089143
0.547,2.751905358,2.680938987,1.892144315
0.548,5.448063582,5.255918336,3.225065907
0.549,3.930047521,8.387394603,4.613863065
0.55,6.680006765,3.024152399,1.696730562
0.551,9.472346786,8.433770185,4.708429736
0.552,7.308346167,0.796802513,0.452103673
0.553,2.961689793,0.252848533,1.83373826
0.554,0.37584474,4.061665414,9.870617075
0.555,5.849880787,1.158062278,1.985323009
0.556,7.05128185,2.824781248,3.876494572
0.557,8.564511145,9.633248213,9.01649165
0.558,7.73167624,0.101814546,1.092357265
0.559,8.061806644,3.136115391,1.566312891
0.56,5.766992801,2.512409104,7.945349696
0.561,1.832321181,8.356098238,6.030222864
0.562,4.515727308,7.713050729,6.307460818
0.563,5.34230786,3.421526573,7.699719133
0.564,3.165046448,6.01898014,0.406609739
0.565,6.567053873,1.764660302,2.590405166
0.566,9.820840511,5.636724978,3.84655876
0.567,2.112469794,9.605258942,1.400540142
0.568,0.462158775,9.35737512,7.046588851
0.569,9.092156867,1.424965809,1.262337495
0.57,8.162957234,1.425354685,7.402087316
0.571,8.837019307,7.574786577,3.901440025
0.572,2.073399017,9.53138285,9.213886436
0.573,2.417866762,1.525443203,1.429437574
0.574,4.841202078,8.825139772,9.034454019
0.575,9.13089936,9.653168835,7.634352416
0.576,8.637854853,6.41564194,0.095983685
0.577,0.345143104,2.763320461,4.496151564
0.578,4.746734911,9.339347689,1.488557786
0.579,5.489244947,2.886713805,1.765812677
0.58,4.882248814,4.168324022,1.307147536
0.581,5.383150912,5.751528873,8.024003843
0.582,8.525127843,8.459816108,5.744403344
0.583,9.540838219,0.299502486,8.009223019
0.584,5.516065349,5.951788564,2.225208358
0.585,3.120077174,3.582992473,5.323784357
0.586,9.231183679,6.565189736,4.265247672
0.587,6.527660348,1.930204628,6.593391475
0.588,3.066633556,2.456286458,2.308727918
0.589,0.430078049,3.424301685,6.497074428
0.59,9.728841638,9.596532687,7.549134629
0.591,4.987498114,3.880049302,7.071933586
0.592,8.520274805,5.886667108,9.324023076
0.593,4.414247222,4.816835006,6.707547103
0.594,3.079615387,1.788884567,9.317610878
0.595,4.731115936,2.483121597,1.096151351
0.596,7.285101057,7.251117783,8.643099863
0.597,2.536245107,1.658056591,0.772880565
0.598,9.31179061,5.910409101,0.991464919
0.599,7.123430141,4.418758749,2.43699467
0.6,6.677210088,8.595370345,2.469180212
0.601,5.93985881,8.258644775,5.264204477
0.602,9.682538449,7.399694023,8.257153692
0.603,9.796900394,7.364714873,5.302594492
0.604,2.553082733,5.573416469,7.442414074
0.605,5.821278889,7.77297254,8.508409145
0.606,4.492589017,9.087815609,7.4900445
0.607,3.509936201,9.420378694,0.200300131
0.608,0.22792386,7.161549204,4.746103845
0.609,0.707731565,3.008806243,1.158645705
0.61,1.796431691,2.996692084,1.506969375
0.611,7.418101259,9.676554516,1.151590967
0.612,7.577683216,4.936893658,1.515429058
0.613,0.107618221,2.801418874,2.543132762
0.614,0.004690077,0.983585174,3.896981591
0.615,9.722884029,6.378610644,9.982236554
0.616,5.22499452,4.241321855,0.02290117
0.617,7.215745554,8.210398198,7.221596388
0.618,8.970440795,7.253806032,1.561175529
0.619,1.422028307,6.061582744,4.709958813
0.62,5.797561626,2.828094388,7.581796519
0.621,5.652447149,2.807562069,9.718799627
0.622,3.37093341,8.533145788,1.412026286
0.623,3.206953908,2.16163293,2.52947457
0.624,2.840144433,2.453826878,0.054463272
0.625,6.349385572,4.502484489,6.751964499
0.626,6.924739997,0.782785959,0.362756235
0.627,7.572320349,2.664648242,6.322436788
0.628,8.102480508,9.544251623,0.979862373
0.629,6.91702736,0.138188192,6.628697953
0.63,2.872637166,4.147459461,6.764391823
0.631,4.657982793,9.429124346,7.388073205
0.632,0.787193247,0.948138475,4.569704587
0.633,1.19838724,9.348603349,0.581387915
0.634,0.729313179,9.362493862,3.137511562
