,a,b,c,d,e
0.078,4.227351466,9.369751602,0.595458315,2.999262574,5.507934709
0.079,5.273795929,7.397385654,8.349011154,8.224051,1.333771322
0.08,0.434378846,2.786674644,7.289776194,6.016655338,7.029827329
0.081,6.205542695,8.287878557,8.222953446,8.264426974,6.604067147
0.082,5.377535752,3.963106336,2.614279152,1.321936468,7.133410585
0.083,1.147985231,6.989158166,9.462680821,9.396511237,9.939275653
0.084,2.841334479,7.109012479,9.800711087,7.713581499,8.937428029
0.085,3.216148323,2.969397906,9.262314636,5.9795814,7.75816984
0.086,4.507021085,1.509322563,1.124986843,7.091140817,9.515971646
0.087,2.483292244,9.916813712,7.956065309,3.342193844,8.459139971
0.088,5.369773909,5.260388509,2.028047671,0.376251671,7.178416645
0.089,1.805872917,8.877044185,0.441372589,4.978418848,5.835043836
0.09,3.256509399,4.931714398,9.446150881,3.537844638,6.24054163
0.091,0.928598759,9.710656945,9.121979507,8.929319457,3.440017709
0.092,0.442508387,9.332423412,2.733010157,8.655676967,1.248997668
0.093,0.532727757,9.33159546,5.055012357,4.395557062,2.571751857
0.094,1.533177416,9.099990686,6.794977736,9.155377105,2.861682044
0.095,9.968740943,2.817104958,0.342357036,9.971781005,6.785395312
0.096,3.307510358,9.295593551,6.045372512,7.131816055,8.016717721
0.097,4.421713582,5.818190706,7.55351224,5.906195084,4.473659757
0.098,7.307050901,0.248015257,2.912936497,2.899257755,1.838973874
0.099,7.897767295,8.145609613,2.994267199,9.011651043,4.485575273
0.1,4.465606174,3.466695766,6.786445753,7.157675936,3.299520289
0.101,2.731662908,6.830668099,1.576884335,2.842782666,0.803401903
0.102,4.759385769,7.941358095,5.667372723,3.972709817,0.957827075
0.103,5.269418713,9.071490969,9.227833404,6.553236506,1.327323425
0.104,8.776796671,2.700650698,1.463339852,9.699564853,1.997967291
0.105,5.673123774,0.436425228,2.462684259,3.720768939,2.214272925
0.106,8.272502157,8.866629238,3.037005997,5.69366984,5.455272523
0.107,8.143157083,8.930880321,2.880776908,9.977566397,6.904337412
0.108,8.345704782,2.880413493,2.218310849,4.985750752,9.870066122
0.109,3.703158738,6.013127977,8.994077378,6.961170258,6.793704021
0.11,4.523756387,1.371486036,5.207068415,5.861938045,8.413784254
0.111,4.799034675,6.75768315,3.929511923,7.894191344,7.21192638
0.112,7.081580361,1.80135261,9.290829412,7.478892738,7.019472077
0.113,9.962876433,1.548379573,9.851401532,4.491455965,4.574207795
0.114,3.64586304,5.121000536,0.392080398,8.706960738,4.316198701
0.115,8.680323883,8.680672238,7.57242876,7.649866441,1.509430091
0.116,0.028602346,5.713138645,2.459478184,5.090880296,3.362316636
0.117,1.101754252,2.472708908,5.239612396,5.837099278,5.556494126
0.118,5.490889366,1.665048692,6.810727845,0.562633326,2.890420299
0.119,3.101303214,8.682835127,9.658272507,6.559582709,4.661805608
0.12,0.814891135,1.943654321,9.295230574,6.730129242,5.370554116
0.121,5.776265004,0.487589102,4.636210569,8.579444747,9.759197914
0.122,7.544668192,1.826327928,3.551534828,1.547135463,0.080535794
0.123,6.351466675,7.427536749,4.315017357,1.960830576,2.457094426
0.124,5.191094638,8.063848895,4.279323633,7.810321021,4.984266609
0.125,8.747314221,6.358095826,9.379952867,8.574780178,7.409515117
0.126,8.686808291,5.44973449,7.248315121,2.380058679,9.49950259
0.127,5.362104442,9.999657415,9.165078112,7.102109941,3.526407932
0.128,4.856644355,5.34672717,4.818331802,9.858185795,9.201874954
0.129,6.931646108,9.825641656,6.308100519,3.806463975,9.154033557
0.13,4.967477637,7.229505868,1.143287859,4.633291893,8.585200303
0.131,5.144355781,5.491363818,7.941399363,6.101703891,5.878066651
0.132,6.396760193,1.155785814,0.005789069,9.819356007,5.894934917
0.133,5.909366859,8.579397377,2.517845144,7.552287722,1.274561338
0.134,5.870299032,0.744056454,4.156944565,6.717628061,1.069136563
0.135,2.395412037,7.889471681,6.417803859,2.620244058,4.142097325
0.136,2.682095153,9.249537711,1.173313448,7.201150601,6.803230124
0.137,4.916062675,2.514890031,7.069286798,4.847601607,1.662564784
0.138,5.646638054,7.373177552,1.31450518,4.91161767,0.867978469
0.139,0.169248624,4.406031213,3.549816144,4.294380048,0.841032267
0.14,2.520276058,7.977384131,2.241108308,3.555465127,5.547238385
0.141,9.16026548,3.193631772,9.478624442,7.316464471,0.848646881
0.142,5.400177172,0.172852641,6.433619441,2.514718888,5.597223037
0.143,8.541905425,8.360940849,9.190024027,8.461237221,6.500936744
0.144,8.360205206,5.649922268,9.166731948,4.40921105,8.094724593
0.145,8.784581198,3.006592879,2.888110801,3.287438727,4.993477261
0.146,5.216362828,0.747241985,9.842787879,7.010986017,0.941893477
0.147,6.607097854,9.362121134,5.650252944,6.57181424,1.407720437
0.148,6.365219743,0.71473582,9.478371266,4.327454131,6.972797847
0.149,5.456780578,8.110550083,9.686139396,4.714367151,0.294444549
0.15,9.228180209,1.453220414,6.638338272,9.496026582,6.622137684
0.151,5.50111749,0.958233023,1.666997701,2.950876615,4.266917838
0.152,8.978854845,2.128523714,0.723859464,1.585016108,8.337663609
0.153,5.123775757,5.875309725,4.835252368,9.559154952,9.665691905
0.154,3.940983832,6.972585265,8.365231368,5.587342788,1.549428562
0.155,5.775574201,1.425560693,3.898197727,7.471127824,3.872165094
0.156,5.786115661,7.912737582,0.514129805,9.634590082,4.539373833
0.157,9.41334346,4.557568745,9.442499371,0.769064498,4.427332615
0.158,1.28599491,6.028779139,2.777948822,7.242741502,7.399140551
0.159,0.133657816,2.959964998,5.446086258,7.592463702,0.747927276
0.16,7.865577015,0.698669583,8.878470635,2.50594738,3.464705442
0.161,2.67354429,5.686646777,8.145955124,8.985972107,8.298027092
0.162,2.528116052,0.114344262,7.307014019,2.888517616,9.152135917
0.163,1.838037107,1.541942535,2.656298057,9.143114341,2.396164584
0.164,9.312482608,8.910878767,2.347463536,1.066557537,0.31282231
0.165,1.683595427,0.110285763,0.18194132,6.238253749,0.761111996
0.166,7.179717157,6.860679804,6.979693437,3.768805209,2.364770426
0.167,7.782664583,8.005372514,3.01774533,8.978475813,5.754499022
0.168,3.960737717,1.648357766,6.006911603,8.708473366,3.93341342
0.169,7.796711835,7.389866869,5.31809035,4.030668105,9.01541251
0.17,0.762008356,9.256469975,6.067965907,8.881095484,5.498843652
0.171,6.175759412,8.492433934,0.613646921,3.134672514,7.083712853
0.172,2.780667152,8.986681522,6.761402343,4.783626622,6.340134398
0.173,8.572516559,1.635971315,0.725903672,3.4337238,7.314843752
0.174,4.218490908,2.37260063,1.62645423,3.68907886,0.406840518
0.175,9.335953568,3.572822456,0.021879032,4.518319393,0.602792085
0.176,2.621739844,6.979104601,5.390922,0.542480776,1.8051744
0.177,7.179558047,1.005127218,3.812622301,1.037728199,8.568425219
0.178,4.247349705,0.113575716,5.837019172,4.734743293,6.786722692
0.179,7.037794146,1.731525164,6.672302944,0.300271656,4.361485377
0.18,5.24279231,6.211324113,0.402106756,2.714431666,8.561047025
0.181,6.108043313,0.207575503,3.224821087,1.637570412,4.879687179
0.182,6.873537662,2.5163693,0.985591578,0.202119207,1.568224962
0.183,9.086865724,0.269294321,7.954875232,7.997289848,2.495019932
0.184,2.81794436,7.271566706,1.119761602,5.49775763,3.801969596
0.185,8.033368273,1.312613559,7.972397168,5.225576133,4.653511037
0.186,0.702006018,1.483074618,1.630758619,6.197297425,2.09077948
0.187,3.437183934,0.340147931,6.4959603,0.628049402,8.326617258
0.188,6.192397298,3.556589671,0.040357493,0.306198221,5.483765672
0.189,0.48049608,2.909620161,3.895518963,4.512099307,0.297305829
0.19,3.097618215,9.216357941,5.290880083,4.826528452,9.84023331
0.191,7.859441934,7.276100799,3.887478947,5.230230299,7.437190708
0.192,4.98438885,5.924942298,8.682507641,1.212279642,4.214505762
0.193,8.975859897,1.937754906,8.925927829,2.933515194,1.792300039
0.194,3.955199778,7.011357676,1.387466319,1.875551537,2.019386243
0.195,0.810355442,0.008249869,4.640645874,6.911992276,4.858157517
0.196,7.024511685,6.701059561,6.975182953,6.528346198,9.348567093
0.197,3.84275422,1.565804675,7.683550609,7.295802,9.434660673
0.198,1.719510271,1.487485084,0.595188788,0.63016079,0.345141995
0.199,4.326020236,8.812741166,5.109556821,8.902253027,6.936908118
0.2,9.696819277,1.906105687,6.761235433,9.629594049,9.973425864
0.201,3.559623022,0.923483675,2.428100978,3.012441529,6.349455924
0.202,2.516559985,0.016242766,6.017987607,9.661396404,4.564916102
0.203,4.229757905,9.863989632,6.0709793,9.316422539,2.406690275
0.204,5.844332716,0.799892931,9.951213268,2.86243624,6.714581392
0.205,5.457892149,2.846974774,1.428590094,5.139550291,6.916610983
0.206,0.604228103,5.388738323,2.97219072,0.353217514,3.048567055
0.207,7.377445749,3.813870729,9.524305121,9.109560822,4.843227546
0.208,8.643455472,2.786862443,9.094010963,7.98318407,0.715007989
0.209,5.924722738,3.468109037,2.953534064,7.07199707,5.294651493
0.21,4.442827346,6.865209583,7.831803662,5.6481148,4.175067449
0.211,1.979301997,9.350857412,1.3624336,6.236692616,9.581630038
0.212,4.43430383,4.783841694,9.082586533,6.799616724,2.029404131
0.213,8.127068345,2.502572458,6.340233625,8.382570858,8.353388371
0.214,7.415837035,3.290359652,0.141020482,9.847593052,8.871127517
0.215,5.258954934,5.294508576,2.383499369,9.014836447,9.391498965
0.216,5.312957733,9.613170365,8.345061092,0.926235581,6.502567684
0.217,0.870859674,2.600179322,0.168013446,1.661508188,4.833500047
0.218,3.60435031,2.715239461,6.787824494,4.506053723,0.734824907
0.219,6.387333711,3.758103291,2.614645095,2.762314555,6.042617499
0.22,8.722161475,7.414702539,7.64985373,2.618857158,0.107014805
0.221,6.14368647,6.688863748,2.408531949,9.969547892,1.731672338
0.222,3.436169064,2.485968435,9.946490939,9.562296865,2.307340321
0.223,8.763473555,6.092595345,7.337661449,7.471022899,4.460408699
0.224,8.792248288,4.461857408,8.104885969,7.904181747,7.121757382
0.225,6.317538485,2.735958022,4.665524703,6.883475267,6.760292866
0.226,5.30574112,4.390583794,7.244621487,3.259722092,0.475860282
0.227,2.259670597,2.997029294,7.119563753,6.684512049,1.147358759
0.228,7.328644545,7.501023642,7.121494653,1.586165747,5.803097056
0.229,6.093498783,8.033801134,9.582307628,5.479164688,3.434244238
0.23,0.58139669,9.118818325,7.534497795,7.067287524,9.483477026
0.231,7.736273865,0.565657977,4.001482111,3.687534387,5.874136224
0.232,2.133954623,9.339611986,0.744506264,5.027731138,1.593862036
0.233,7.955153943,1.967602998,1.038957286,8.116128479,9.012348539
0.234,4.030298372,4.250745854,6.503066905,5.802086749,0.758613775
0.235,8.049420659,5.576551671,2.849590643,7.039396821,3.351733109
0.236,2.380095448,1.733857869,8.961913509,3.73981825,8.519093501
0.237,2.267556972,4.45319212,9.34940443,3.533717592,2.831443444
0.238,8.325362743,5.196815576,0.361892116,3.38756622,3.902384291
0.239,3.870206063,7.701198136,0.375884984,0.309612999,2.222390685
0.24,7.526548258,0.165344249,2.732298309,4.804722559,7.660656629
0.241,2.113580878,7.504462716,4.449798347,3.332577576,7.532524623
0.242,6.261488616,6.188119548,7.506643534,6.178179269,3.501210197
0.243,4.875705202,9.444504087,9.289676811,2.422743929,9.756054289
0.244,9.715892585,4.656946445,0.821512812,4.288341735,0.171606832
0.245,8.026111943,4.052744397,8.406360396,7.049459069,3.117154184
0.246,8.923789591,2.865365362,1.53809799,4.219693564,6.002773998
0.247,5.23385144,6.579903491,8.543193294,8.337631895,5.920943711
0.248,9.51303797,6.508129095,7.046201951,0.04569521,0.930624672
0.249,6.358797984,5.575421391,4.047083883,7.257224437,0.200396137
0.25,0.454727404,2.457881875,8.97399794,9.225641484,2.292184451
0.251,3.528657606,0.188055422,3.877751938,5.113841206,4.183999151
0.252,5.749076212,2.982086563,4.623567461,1.337780886,1.832769937
0.253,6.793040193,0.994348404,3.991000029,0.806914526,8.465847976
0.254,3.373882906,0.642171675,5.087467972,2.442801539,2.966023148
0.255,2.729395819,3.389596524,4.983190833,0.428504422,1.165481887
0.256,7.935777367,6.603070242,7.258364578,2.078745847,0.109007079
0.257,5.40651543,2.218801324,9.907802411,5.955685305,1.056532592
0.258,5.165705733,7.791098732,1.732230892,4.038846751,2.204243573
0.259,2.272310275,5.345940135,6.925968528,7.966008138,9.339523017
0.26,0.423851775,1.84433653,4.636525861,2.198463881,7.841124463
0.261,2.83270964,8.330023744,6.592815662,8.789142497,3.283459467
0.262,1.525845945,5.092331907,0.110793208,9.962289291,2.281087392
0.263,0.966829649,2.587113063,0.779699947,8.483323022,1.039600139
0.264,8.038926856,0.429062803,9.930256422,0.802380968,5.608442006
0.265,9.54474976,0.54922988,8.630290264,6.5950396,9.10713881
0.266,6.737018856,0.727942801,8.432705777,5.419209715,5.74827452
0.267,3.618510517,6.233432069,7.251640422,9.804377823,1.485094375
0.268,0.703262881,7.568273183,7.230735833,7.40707323,3.241594395
0.269,4.993702639,8.273824669,5.155865489,7.806660058,7.339830697
0.27,2.919214577,9.580663994,6.7686386,3.560344932,3.235230709
0.271,8.268374286,4.025799743,7.986829122,3.088382502,2.272174535
0.272,4.263466251,8.541375758,9.216167349,6.78472292,2.844461114
0.273,5.94453928,8.609226919,2.35878015,4.341672275,1.373766312
0.274,1.361828563,7.386341334,8.856331577,5.981545014,5.631750738
0.275,6.865099072,9.358818519,6.053149203,9.336915289,7.316498945
0.276,0.043043947,9.081982052,8.539897126,0.275998259,1.170108479
0.277,0.572603506,9.174735413,3.692018808,8.874101253,4.207891321
0.278,8.575320361,0.256801377,7.674016436,8.914302272,0.837292705
0.279,4.613051085,0.40975984,1.662613063,8.064583014,4.247447397
0.28,8.896265447,0.364856699,0.174480034,9.908815867,0.797653328
0.281,1.47018291,0.63196217,6.643957795,6.948727772,6.192652743
0.282,3.411558817,6.114979615,9.174409203,3.135328262,2.662528507
0.283,8.675539285,9.901400882,3.500517446,5.424586945,7.326203026
0.284,1.374343904,8.559316195,2.406453284,9.174589977,9.089073946
0.285,2.317826973,3.048186661,7.886396247,3.346009459,2.178133699
0.286,1.684392757,5.326816181,1.958770882,4.531851965,3.993901631
0.287,3.691676651,7.747668044,1.886876161,4.313916721,4.613727612
0.288,3.695389922,9.45220874,4.110588956,8.642415329,8.292728232
0.289,5.871976263,2.501299422,1.101557946,2.299834955,2.257413015
0.29,1.142320043,8.816922449,0.923669302,3.29409551,1.057794104
0.291,1.815554648,2.938344901,7.33313637,8.951861377,3.719529732
0.292,4.555664461,6.02731031,6.838386207,7.580184658,8.359113959
0.293,7.59208498,8.405812324,7.257897062,5.914860344,9.277007701
0.294,7.573645941,4.856752501,6.861411011,1.397505232,6.441994462
0.295,5.721255559,4.312481072,6.098439599,8.44070836,4.961178473
0.296,3.188911879,0.505153823,8.378617253,0.23811467,0.949550659
0.297,7.937416456,4.805264211,4.097497809,9.297909591,7.796701139
0.298,5.963590953,9.782624171,6.963044764,7.625393113,3.089441907
0.299,4.009509724,3.61063455,0.732139912,5.759333858,5.423316613
0.3,9.323314516,6.075547694,2.632144094,2.410254677,4.773734189
0.301,4.548512952,5.763172204,8.824708124,1.307806388,4.15731303
0.302,7.455971864,7.438776741,7.753486724,5.198531515,2.691802369
0.303,1.879532391,9.632247925,6.602423988,8.100179704,0.38610391
0.304,3.271268578,4.08073405,6.92236004,3.177717405,8.279240888
0.305,4.130845166,0.767032551,3.870261295,3.148652687,9.735896309
0.306,2.696341829,7.194622308,7.737099701,3.27735453,9.590123452
0.307,8.253514742,7.082601088,6.145345484,0.579303229,1.75014254
0.308,3.362221528,1.855421754,4.386140956,2.294372571,5.420016977
0.309,3.260845807,2.172707369,9.787984295,9.404110482,6.911592853
0.31,0.5305763,7.106648675,6.133250027,5.838269589,8.05611843
0.311,5.711498662,5.306258352,9.554629696,2.136681863,9.293802575
0.312,8.305758234,3.019505963,4.731786927,6.936060845,8.696128324
0.313,6.485289707,6.117077344,8.926904454,5.626043809,9.589198883
0.314,0.258027644,4.399842229,7.343914923,8.957263399,5.3996824
0.315,8.797830771,6.944638768,3.238108616,6.221239084,6.486477419
0.316,8.139637308,4.485436237,4.576816289,3.155572123,5.11935028
0.317,1.028227063,1.583243097,8.248026893,2.739651397,3.298349668
0.318,4.919263426,1.55420956,2.243646813,8.91106248,5.003437144
0.319,6.46334629,7.948151248,2.276334376,0.187364076,6.346123586
0.32,5.094924919,8.021646636,7.294409032,7.939547331,0.497032627
0.321,5.503918208,5.231821012,7.713042049,0.713825153,3.353226653
0.322,7.599070575,9.162679023,5.559267393,5.507055157,5.650425405
0.323,1.94351566,5.28114069,3.11473767,1.859215515,0.512178014
0.324,4.434012363,0.453094616,4.487755807,9.565264597,0.181494694
0.325,5.828524382,7.797630319,5.936465525,2.529699865,4.205160901
0.326,1.378606842,3.966406024,6.505361115,5.60294769,9.072149238
0.327,2.22707046,0.973470026,8.621089182,4.814787889,8.426889759
0.328,9.306707327,1.707953805,8.717415022,3.037478983,8.673788556
0.329,1.349973871,5.683754216,8.422391898,0.017789878,9.511623165
0.33,1.707904905,1.454209859,4.139588437,7.982446407,9.888052962
0.331,2.43381196,6.284795112,7.788805357,9.269441445,3.24905686
0.332,8.01535417,5.898208787,8.324289567,5.440309293,2.22706333
0.333,4.996651474,7.666886696,0.068875908,2.371950574,6.02228549
0.334,2.764971184,3.463842995,3.508605556,0.091319454,6.186308053
0.335,5.531214796,6.662319689,6.704646656,2.36175907,4.202162582
0.336,3.493591284,9.161677431,2.532897901,5.260762761,9.825401676
0.337,2.133681841,2.106401805,6.781812982,1.277048395,1.481051598
0.338,4.887722528,3.435383436,7.94489414,0.197378104,1.450635617
0.339,0.377952236,8.962702313,4.99124095,5.621014221,7.373831787
0.34,9.084416855,0.942944195,8.737859511,0.832971245,5.947081343
0.341,2.120465504,3.757051151,2.137227139,1.264622481,0.982213354
0.342,4.186133566,5.330813165,0.827880763,0.48814497,9.930303332
0.343,2.188742896,2.607730031,2.797877234,2.177791095,6.785762493
0.344,5.602532943,9.691583634,8.362021691,7.053438039,9.853803877
0.345,4.169757428,0.774336019,7.842663032,5.151197883,6.993983288
0.346,1.095142561,3.138549203,4.771652578,7.86696891,0.061316604
0.347,8.011644882,8.303486516,6.120433509,6.421991121,1.234202415
0.348,3.818777993,8.867932147,5.872746415,3.468565793,0.331430587
0.349,8.6947204,1.456750913,4.37179542,2.363442667,5.116345725
0.35,3.300051379,6.507304529,7.985406085,7.843217524,3.281961993
0.351,8.316138416,0.241940463,8.464003332,8.020999847,5.267839202
0.352,5.307225679,0.968009672,8.264610416,8.902831316,0.77746293
0.353,6.223156317,5.456322602,5.424905712,7.896578877,6.314288929
0.354,1.076290589,4.003483438,0.978045765,7.328806201,1.521900109
0.355,7.285126659,8.912988918,9.252640834,3.243934554,2.399716464
0.356,5.302011345,2.151041899,9.879462942,7.426590274,1.00295856
0.357,7.103715011,9.662585353,6.567361308,5.41190689,6.675332791
0.358,6.644091402,2.246606981,2.213002315,0.986396616,1.202393849
0.359,5.920155037,1.690662775,6.43447503,5.063417433,4.004859163
0.36,7.744237764,0.664745052,4.519418841,1.492386304,1.591727131
0.361,0.47663613,5.51579301,6.148117022,0.556621842,5.894966965
0.362,1.295315195,6.204586938,9.749065871,2.85509501,6.829199523
0.363,0.293006134,8.97589938,7.370867345,7.987287544,9.930499352
0.364,4.291865481,1.092176733,6.523718822,8.206964722,6.672183238
0.365,9.609115684,3.959617097,1.6171504,5.10161427,2.856954455
0.366,2.201109945,8.651498088,4.021742007,6.59140051,7.281512851
0.367,1.276590193,9.974412179,8.38415549,3.992342748,8.782788577
0.368,4.642756969,4.854269703,6.533186133,7.748672203,1.174172349
0.369,2.968515704,8.219706437,0.156997943,5.127208428,8.21096917
0.37,1.984072658,0.574074843,2.058225434,0.585831336,7.015088988
0.371,8.127546673,6.553675365,1.277559706,1.489538299,1.8952813
0.372,1.730672277,3.118624539,8.555227448,6.248702798,6.68642414
0.373,0.493751771,9.428022903,0.022385232,1.237318643,0.462998628
0.374,2.422673549,3.142897805,8.546961211,3.631411577,8.936007088
0.375,9.34896397,3.546467227,5.05451676,8.710128474,1.486385899
0.376,9.380222621,7.402002623,4.470766672,7.371546861,8.452991696
0.377,8.963857634,5.978432777,9.332615795,0.201727865,3.105116921
0.378,5.577853357,2.913175391,2.931070358,1.487121951,2.393717924
0.379,5.770173489,8.772786309,3.653465631,3.890122978,2.382501315
0.38,6.308965884,7.421700918,5.554922849,7.948505652,7.128274522
0.381,7.233501375,8.309734234,0.98211427,4.366205052,6.277256841
0.382,6.161544902,4.618518411,2.861251617,8.697410319,1.3329762
0.383,5.590631017,9.662789263,0.221259371,4.630993337,7.513390484
0.384,3.928517699,1.728778568,8.6446451,9.451872379,3.473064153
0.385,4.465450838,3.643448076,7.116521664,5.531951389,8.48917599
0.386,2.973189761,2.22025316,6.840052614,4.287506823,1.558548312
0.387,7.921243707,0.269837831,0.82029937,2.357562747,6.80044355
0.388,1.727708248,7.951763092,8.125131413,8.296239826,6.161936693
0.389,5.38492413,6.519089236,1.736062089,4.952375512,5.707447979
0.39,7.880084673,2.917942031,0.422834338,5.831914906,7.337754012
0.391,9.821949804,5.902066696,6.695589094,1.13044459,5.650458115
0.392,8.752964381,1.759182324,2.991924253,3.476801713,0.537338754
0.393,4.702357936,6.348205487,9.605411496,4.904782087,8.544782236
0.394,2.731567248,4.677815933,0.486885557,3.99554258,5.1663902
0.395,7.534208923,2.487099434,3.077799667,5.676721999,6.434414845
0.396,2.577342599,3.124925664,9.497983246,6.535328246,1.295305502
0.397,2.662709318,9.820077512,1.48226247,8.790948071,2.081444131
0.398,6.479927201,9.878925749,0.116754659,1.6920322,0.017126281
0.399,4.254161504,5.578469755,9.873529717,5.110976574,6.045934508
0.4,1.625736561,9.974813539,4.842129526,2.752337932,7.180906113
0.401,0.48456093,1.137234925,9.260739696,1.348457409,4.360690715
0.402,2.110201553,3.936296458,5.038974773,2.548409981,7.163623216
0.403,9.601428277,8.574909516,0.921371713,8.643550262,1.5132286
0.404,1.844255749,0.435710641,6.30025146,2.631640022,3.941917524
0.405,4.143565527,1.885606511,7.72513125,5.346520042,2.82725367
0.406,8.764809996,7.057985133,3.473950879,6.543106428,8.879167967
0.407,8.556328677,5.881088332,9.352412925,6.836516541,8.891267969
0.408,9.547847878,3.824430285,9.752156368,6.012150394,2.155396572
0.409,5.95979573,4.822546076,3.341242669,5.723585192,1.726224277
0.41,5.199838388,7.966421068,1.662713983,5.981388212,9.128309477
